Item Name	Base price	Crafting price	Price adjustment	Source	Attunement?	HoTC Rarity	Shoppable	Craftable	Ban reason	Available in shop	Total Weight	Manual Weight	Base	Priced Weight	
Nepenthe	-	-		VRGR	Yes	Banned	No	No	Sentient holy avenger	FALSE	0	0	0	0	
Nightspider	-	-		AAG	No	Banned	No	No	Setting Specific Item	FALSE	0	0	0	0	
Obviator's Lenses	-	-		AI	No	Banned	No	No	Uses AI Rank system	FALSE	0	0	0	0	
Occultant Abacus	-	-		AI	Yes	Banned	No	No	Uses AI Rank system	FALSE	0	0	0	0	
Orc Stone	-	-		IDRotF	Yes	Banned	No	No	Summons a creature	FALSE	0	0	0	0	
Orrery of the Wanderer	-	-		AI	Yes	Banned	No	No	One of its parts is banned	FALSE	0	0	0	0	
Petrified Grung Egg	-	-		ToA	Yes	Banned	No	No	Setting specific item	FALSE	0	0	0	0	
Philter of Love	-	-		DMG	No	Banned	No	No	It's yucky	FALSE	0	0	0	0	
Plate Armor of Etherealness	-	-		DMG	Yes	Banned	No	No	Extremely powerful item	FALSE	0	0	0	0	
Portfolio Keeper	-	-		AI	No	Banned	No	No	Uses AI Rank system	FALSE	0	0	0	0	
Powered Armor	-	-		LLK	Yes	Banned	No	No	Power armor	FALSE	0	0	0	0	
Prismatic Well	-	-		NRH-AT	No	Banned	No	No	Setting specific	FALSE	0	0	0	0	
Professor Skant	-	-		IDRotF	No	Banned	No	No	Setting specific item	FALSE	0	0	0	0	
Ring of Red Fury	-	-		CR:CotN	Yes	Banned	No	No	Setting specific item (Ruidium corruption)	FALSE	0	0	0	0	
Ring Of WInter	-	-		ToA	Yes	Banned	No	No	Curse that takes PC over	FALSE	0	0	0	0	
Rings of Shared Suffering	-	-		WGE	Yes	Banned	No	No	Permament Warding Bond - either ban or limit range	FALSE	0	0	0	0	
Rod of Security	-	-		DMG	No	Banned	No	No	This can derail a session by taking a 33 day detour to heal up. It basically resets a fight. I see no reason why you couldn't long rest inside the paradise.	FALSE	0	0	0	0	
Ruidium Armor	-	-		CR:CotN	Yes	Banned	No	No	Setting specific item (Ruidium corruption)	FALSE	0	0	0	0	
Ruidium Shield	-	-		CR:CotN	Yes	Banned	No	No	Setting specific item (Ruidium corruption)	FALSE	0	0	0	0	
Ruidium Weapon	-	-		CR:CotN	Yes	Banned	No	No	Setting specific item (Ruidium corruption)	FALSE	0	0	0	0	
Ruin's Wake	-	-		EGW	Yes	Banned	No	No	Named sentient monster inside	FALSE	0	0	0	0	
Ruinblade	-	-		IMR	Yes	Banned	No	No	Punishing curse	FALSE	0	0	0	0	
Saint Markovia's Thighbone	-	-		CoS	Yes	Banned	No	No	Mace of Disruption with extra / setting specific	FALSE	0	0	0	0	
Scorpion Ship	-	-		AAG	No	Banned	No	No	Setting Specific Item	FALSE	0	0	0	0	
Scroll Of Tarrasque Summoning	-	-		IDRotF	No	Banned	No	No	Summons the tarrasque	FALSE	0	0	0	0	
Sending Stone (AI)	-	-		AI	No	Banned	No	No	It's AI and it's weird	FALSE	0	0	0	0	
Shield Guardian Amulet	-	-		IDRotF	Yes	Banned	No	No	Setting specific	FALSE	0	0	0	0	
Shield of the Hidden Lord	-	-		BGDIA	Yes	Banned	No	No	Setting specific item	FALSE	0	0	0	0	
Shrike Ship	-	-		AAG	No	Banned	No	No	Setting Specific Item	FALSE	0	0	0	0	
Silken Spite	-	-		EGW	Yes	Banned	No	No	Specific named creature lives inside	FALSE	0	0	0	0	
Smokepowder	-	-		WDH	No	Banned	No	No	Firearm related	FALSE	0	0	0	0	
Soul Coin	-	-		BGDIA	No	Banned	No	No	Setting specific item	FALSE	0	0	0	0	
Space Galleon	-	-		AAG	No	Banned	No	No	Setting Specific Item	FALSE	0	0	0	0	
Speaking Stone	-	-		ERLW	No	Banned	No	No	Requires you to be a mark of scribing gnome	FALSE	0	0	0	0	
Spell Gem	-	-		OotA	Yes	Banned	No	No	"They're renewable, better spell scrolls"	FALSE	0	0	0	0	
Spelljamming Helm	-	-		AAG	Yes	Banned	No	No	Setting Specific Item	FALSE	0	0	0	0	
Spyglass of Clairvoyance	-	-		AI	No	Banned	No	No	AI rank system	FALSE	0	0	0	0	
Squid Ship	-	-		AAG	No	Banned	No	No	Setting Specific Item	FALSE	0	0	0	0	
Staff of the Forgotten One	-	-		ToA	Yes	Banned	No	No	Item possesses characers and basically kills them	FALSE	0	0	0	0	
Star Moth	-	-		AAG	No	Banned	No	No	Setting Specific Item	FALSE	0	0	0	0	
Statuette of Saint Markovia	-	-		CoS	No	Banned	No	No	Allignment based +1 to saves	FALSE	0	0	0	0	
Steel	-	-		WBtW	Yes	Banned	No	No	Once per day revivify	FALSE	0	0	0	0	
Stone of Golorr	-	-		WDH	Yes	Banned	No	No	Named specific monster inside	FALSE	0	0	0	0	
Stonky's ring	-	-		CM	Yes	Banned	No	No	Setting specific item	FALSE	0	0	0	0	
Sunsword	-	-		CoS	Yes	Banned	No	No	Use Sun Blade	FALSE	0	0	0	0	
Sword of Zariel	-	-		BGDIA	Yes	Banned	No	No	Setting specific	FALSE	0	0	0	0	
Talisman of Pure Good	-	-		DMG	Yes	Banned	No	No	"Allignment specific, no neutral option"	FALSE	0	0	0	0	
Talisman of Ultimate Evil	-	-		DMG	Yes	Banned	No	No	"Allignment specific, no neutral option"	FALSE	0	0	0	0	
Tearulai	-	-		WDMM	Yes	Banned	No	No	Tries to transport PC to Myth Drannor	FALSE	0	0	0	0	
Teeth of Dahlver-Nar	-	-		TCE	Yes	Banned	No	No	"Gross item, you put teeth in your mouth"	FALSE	0	0	0	0	
Teleporter Ring	-	-		WDH	No	Banned	No	No	Setting specific	FALSE	0	0	0	0	
The Bloody End	-	-		EGW	Yes	Banned	No	No	Specific named creature lives inside	FALSE	0	0	0	0	
The Codicil of White	-	-		IDRotF	No	Banned	No	No	Setting specific	FALSE	0	0	0	0	
The Infernal Machine of Lum the Mad	-	-		IMR	Yes	Banned	No	No	Setting specific	FALSE	0	0	0	0	
Timepiece of Travel	-	-		AI	No	Banned	No	No	Once per day teleport	FALSE	0	0	0	0	
Tinderstrike	-	-		PotA	Yes	Banned	No	No	Creates devistation orb	FALSE	0	0	0	0	
Topaz Annihilator	-	-		FTD	Yes	Banned	No	No	Firearm	FALSE	0	0	0	0	
Travel Alchemical Kit	-	-		AI	No	Banned	No	No	AI rank system	FALSE	0	0	0	0	
Turtle Ship	-	-		AAG	No	Banned	No	No	Setting Specific Item	FALSE	0	0	0	0	
Two-Birds Sling	-	-		MOT	No	Banned	No	No	Implications of making multiple ranged attacks scares me	FALSE	0	0	0	0	
Tyrant Ship	-	-		AAG	No	Banned	No	No	Setting Specific Item	FALSE	0	0	0	0	
Vicious Weapon +1	-	-		AI	No	Banned	No	No	AI power creep	FALSE	0	0	0	0	
Voting Kit	-	-		AI	No	Banned	No	No	AI rank system	FALSE	0	0	0	0	
Wand Of Orcus	-	-		DMG	Yes	Banned	No	No	Very powerful artifact	FALSE	0	0	0	0	
Wand of Scowls	-	-		XGE	No	Banned	No	No	It's yucky	FALSE	0	0	0	0	
Wand of Smiles	-	-		XGE	No	Banned	No	No	It's yucky	FALSE	0	0	0	0	
Wand of Viscid Globs	-	-		OotA	Yes	Banned	No	No	Restrains without save or escape	FALSE	0	0	0	0	
Wasp Ship	-	-		AAG	No	Banned	No	No	Setting Specific Item	FALSE	0	0	0	0	
Whisper Jar	-	-		AI	Yes	Banned	No	No	AI rank system	FALSE	0	0	0	0	
Wildspace Orrery	-	-		AAG	No	Banned	No	No	Setting Specific Item	FALSE	0	0	0	0	
Will of the Talon	-	-		EGW	Yes	Banned	No	No	Specific named creature inside	FALSE	0	0	0	0	
Windvane	-	-		PotA	Yes	Banned	No	No	Creates devastation orbs	FALSE	0	0	0	0	
Winter's Dark Bite	-	-		HftT	No	Banned	No	No	Setting specific	FALSE	0	0	0	0	
Witchlight Vane	-	-		WBtW	Yes	Banned	No	No	Setting specific item	FALSE	0	0	0	0	
Witchlight Watch	-	-		WBtW	Yes	Banned	No	No	Setting specific item	FALSE	0	0	0	0	
Wyllow's Staff of Flowers	-	-		WDMM	Yes	Banned	No	No	It's just a Staff of Flowers	FALSE	0	0	0	0	
Wyrmskull Throne	-	-		SKT	No	Banned	No	No	Setting specific	FALSE	0	0	0	0	
Ythryn Mythallar	-	-		IDRotF	Yes	Banned	No	No	Setting specific	FALSE	0	0	0	0	
Ammunition +1 (20)	500	250		DMG	No	Bronze	Yes	Yes		TRUE	20	0	20	0	
Amulet of the Drunkard	150	75		EGW	No	Bronze	Yes	Yes		TRUE	97	0	20	77	
Arcanaloth's Music Box	50	25		TA	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Armblade	50	25	add weapon cost	EBR	Warforged	Bronze	Yes	Yes		TRUE	120	0	20	100	
Armor Of Gleaming (any medium or heavy)	20	10	add armor cost	XGE	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Armor of Vulnerability	100	50	Cost of the Armor	DMG	Yes	Bronze	No	No	Cursed item	FALSE	108	0	20	88	
Balloon Pack	250	125		PA	No	Bronze	Yes	Yes		TRUE	75	0	20	55	
Barrier Tattoo (12+DEX)	500	250		TCE	Yes	Bronze	Yes	Yes		TRUE	20	0	20	0	
Bead of Nourishment	10	5		XGE	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Bead of Refreshment	10	5		XGE	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Blood of the Lycanthrope Antidote	100	50		IMR	No	Bronze	Yes	Yes		TRUE	108	0	20	88	
Boots Of False Tracks	80	40		XGE	No	Bronze	Yes	Yes		TRUE	113	0	20	93	
Bottle of Boundless Coffee	40	20		SCC	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Bottled Breath	100	50		PA	No	Bronze	Yes	Yes		TRUE	108	0	20	88	
Breathing Bubble	500	250		EGW	No	Bronze	Yes	Yes		TRUE	20	0	20	0	
Bridle of Capturing	500	250		IMR	No	Bronze	Yes	Yes		TRUE	20	0	20	0	
Brooch of Living Essence	50	25		EGW	Yes	Bronze	Yes	Yes		TRUE	120	0	20	100	
Candle Of The Deep	80	40		XGE	No	Bronze	Yes	Yes		TRUE	113	0	20	93	
Cast Off Armor	30	15	add armor cost	XGE	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Charlatan's Die	150	75		XGE	Yes	Bronze	Yes	Yes		TRUE	97	0	20	77	
Charm Of Plant Command	500	250		GoS	Yes	Bronze	Yes	Yes		TRUE	20	0	20	0	
Charred Wand of Magic Missiles	"1,000"	500		WDH	No	Bronze	No	No	Weakened version of existing item	FALSE	20	0	20	0	
Chest Of Preserving	30	15		DMM	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Claws Of The Umber Hulk	500	250		PA	Yes	Bronze	Yes	Yes		TRUE	20	0	20	0	
Cleansing Stone	100	50		EBR	No	Bronze	Yes	Yes		TRUE	108	0	20	88	
Cloak Of Billowing	30	15		XGE	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Cloak Of Many Fashions	250	125		XGE	No	Bronze	Yes	Yes		TRUE	75	0	20	55	
Clockwork Dog	50	25		SKT	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Clothes Of Mending	30	15		XGE	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Coin of Delving	40	20		EGW	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Conch of Safe Rest	200	100		TP	No	Bronze	Yes	Yes		TRUE	86	0	20	66	
Cracked Driftglobe	200	100		CM	No	Bronze	Yes	Yes		TRUE	86	0	20	66	
Crown Of The Forest	100	50		IMR	No	Bronze	No	No	Cursed item-ish	FALSE	108	0	20	88	
Cuddly Strixhaven Mascot	150	75		SCC	No	Bronze	Yes	Yes		TRUE	97	0	20	77	
Cursed Luckstone	100	50		GoS	Yes	Bronze	No	No	Cursed item	FALSE	108	0	20	88	
Dagger of Guitar Solos	50	25		DMM	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Dancing Monkey Fruit (1 fruit)	100	50		TA	No	Bronze	Yes	Yes		TRUE	108	0	20	88	
Dark Shard Amulet	300	150		XGE	Yes	Bronze	Yes	Yes		TRUE	64	0	20	44	
Dodecahedron Of Doom	500	250		DMM	No	Bronze	Yes	Yes		TRUE	20	0	20	0	
Draconic Longsword	100	50		TA	No	Bronze	Yes	Yes		TRUE	108	0	20	88	
Dread Helm	40	20		XGE	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Dust of Deliciousness	50	25		EGW	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Dust Of Dryness (1 pellet)	200	100		DMG	No	Bronze	Yes	Yes		TRUE	86	0	20	66	
Ear Horn Of Hearing	250	125		XGE	No	Bronze	Yes	Yes		TRUE	75	0	20	55	
Earring of Message	500	250		CR:CotN	No	Bronze	No	Yes		FALSE	20	0	20	0	
Elder Cartographers Glossography	200	100		AI	No	Bronze	Yes	Yes		TRUE	86	0	20	66	
Elixir Of Health	120	60		DMG	No	Bronze	Yes	Yes		TRUE	104	0	20	84	
Emerald Pen	100	50		FTD	No	Bronze	Yes	Yes		TRUE	108	0	20	88	
Enduring Spellbook	70	35		XGE	No	Bronze	Yes	Yes		TRUE	115	0	20	95	
Ersatz Eye	100	50		XGE	Yes	Bronze	Yes	Yes		TRUE	108	0	20	88	
Everbright Lantern	400	200		EBR	No	Bronze	Yes	Yes		TRUE	42	0	20	22	
Galder's Bubble Pipe	500	250		LLK	Yes	Bronze	Yes	Yes		TRUE	20	0	20	0	
Glamerweave (Common)	40	20		WGE	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Goggles of Object Reading	500	250		EGW	Yes	Bronze	Yes	Yes		TRUE	20	0	20	0	
Hat Of Vermin	90	45		XGE	No	Bronze	Yes	Yes		TRUE	111	0	20	91	
Hat Of Wizardry	90	45		XGE	Yes	Bronze	Yes	Yes		TRUE	111	0	20	91	
Helm Of Comprehending Languages	500	250		DMG	No	Bronze	Yes	Yes		TRUE	20	0	20	0	
Heward's Handy Spice Pouch	30	15		XGE	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Horn Of Blasting	450	225		DMG	No	Bronze	Yes	Yes		TRUE	31	0	20	11	
Horn Of Silent Alarm	100	50		XGE	No	Bronze	Yes	Yes		TRUE	108	0	20	88	
Illuminator's Tattoo	60	30		TCE	Yes	Bronze	Yes	Yes		TRUE	117	0	20	97	
Imbued Wood Focus	60	30		EBR	Yes	Bronze	Yes	Yes		TRUE	117	0	20	97	
Instrument Of Illusions	20	10	add instrument cost	XGE	Yes	Bronze	Yes	Yes		TRUE	120	0	20	100	
Instrument Of Scribing	50	25	add instrument cost	XGE	Yes	Bronze	Yes	Yes		TRUE	120	0	20	100	
Junky +1 Dagger	500	250		TYP	No	Bronze	Yes	Yes		TRUE	20	0	20	0	
"Keoghtom's Ointment (Per jar) (AKA ""Restorative Ointment"")"	500	250		DMG	No	Bronze	Yes	Yes		TRUE	20	0	20	0	
Keycharm	300	150		EBR	Yes	Bronze	Yes	Yes		TRUE	64	0	20	44	
Lantern of Tracking	300	150		ID	No	Bronze	Yes	Yes		TRUE	64	0	20	44	
Loadstone	100	50		TFtyP	No	Bronze	No	No	Cursed item	FALSE	108	0	20	88	
Lock Of Trickery	250	125		XGE	No	Bronze	Yes	Yes		TRUE	75	0	20	55	
Mask Of The Beast	100	50		ToA	No	Bronze	Yes	Yes		TRUE	108	0	20	88	
Masque Charm	300	150		SCC	No	Bronze	Yes	Yes		TRUE	64	0	20	44	
Masquerade Tattoo	60	30		TCE	Yes	Bronze	Yes	Yes		TRUE	117	0	20	97	
Moodmark Paint	20	10		GGR	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Mummy Rot Antidote	100	50		IMR	No	Bronze	Yes	Yes		TRUE	108	0	20	88	
Mystery Key	100	50		XGE	No	Bronze	Yes	Yes		TRUE	108	0	20	88	
Oil Of Slipperiness	480	240		DMG	No	Bronze	Yes	Yes		TRUE	24	0	20	4	
Orb Of Direction	50	25		XGE	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Orb Of Gonging	250	125		DMM	No	Bronze	Yes	Yes		TRUE	75	0	20	55	
Orb Of Shielding	30	15		EBR	Yes	Bronze	Yes	Yes		TRUE	120	0	20	100	
Orb Of Time	50	25		XGE	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Paper Bird (five)	100	50		WDH	No	Bronze	Yes	Yes		TRUE	108	0	20	88	
Pearl of Undead Detection	300	150		DMM	No	Bronze	Yes	Yes		TRUE	64	0	20	44	
Perfume Of Bewitching	100	50		XGE	No	Bronze	Yes	Yes		TRUE	108	0	20	88	
Pipe Of Remembrance	75	37.5		GoS	No	Bronze	Yes	Yes		TRUE	114	0	20	94	
Pipe Of Smoke Monsters	25	12.5		XGE	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Pixie Dust	200	100		WBW	No	Bronze	Yes	Yes		TRUE	86	0	20	66	
Pole Of Angling	30	15		XGE	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Pole Of Collapsing	70	35		XGE	No	Bronze	Yes	Yes		TRUE	115	0	20	95	
Pot Of Awakening	200	100		XGE	No	Bronze	Yes	Yes		TRUE	86	0	20	66	
Potion of Advantage	200	100		WBW	No	Bronze	Yes	Yes		TRUE	86	0	20	66	
Potion Of Animal Friendship	200	100		DMG	No	Bronze	Yes	Yes		TRUE	86	0	20	66	
Potion of Aqueous Form	300	150		MOoT	No	Bronze	Yes	Yes		TRUE	64	0	20	44	
Potion Of Climbing	180	90		DMG	No	Bronze	Yes	Yes		TRUE	91	0	20	71	
Potion Of Comprehension	60	30		WDH	No	Bronze	Yes	Yes		TRUE	117	0	20	97	
Potion Of Diminution	270	135		DMG	No	Bronze	Yes	Yes		TRUE	71	0	20	51	
Potion Of Fire Breath	150	75		DMG	No	Bronze	Yes	Yes		TRUE	97	0	20	77	
Potion Of Gaseous Form	300	150		DMG	No	Bronze	Yes	Yes		TRUE	64	0	20	44	
Potion Of Growth	270	135		DMG	No	Bronze	Yes	Yes		TRUE	71	0	20	51	
Potion Of Healing	50	25		DMG	No	Bronze	Yes	Yes		TRUE	3000	3000	20	100	
Potion Of Healing (Greater)	200	100		DMG	No	Bronze	Yes	Yes		TRUE	1000	1000	20	66	
Potion Of Heroism	800	400		DMG	No	Bronze	Yes	Yes		TRUE	20	0	20	0	
Potion of Maximum Power	600	300		EGW	No	Bronze	Yes	Yes		TRUE	20	0	20	0	
Potion Of Mind Control (Beast)	500	250		TYP	No	Bronze	Yes	Yes		TRUE	20	0	20	0	
Potion Of Mind Reading	180	90		DMG	No	Bronze	Yes	Yes		TRUE	91	0	20	71	
Potion Of Poison	-	-		DMG	No	Bronze	No	No	DM fake potion	FALSE	20	0	20	0	
Potion Of Resistance	300	150		DMG	No	Bronze	Yes	Yes		TRUE	64	0	20	44	
Potion Of Watchful Rest	150	75		WDH	No	Bronze	Yes	Yes		TRUE	97	0	20	77	
Potion Of Water Breathing	180	90		DMG	No	Bronze	Yes	Yes		TRUE	91	0	20	71	
Pressure Capsule	20	10		GoS	No	Bronze	No	Yes		FALSE	120	0	20	100	
Propeller Helm	100	50		DMM	Yes	Bronze	Yes	Yes		TRUE	108	0	20	88	
Prosthetic Limb	50	25		TCE	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Quaals Feather Token (Anchor)	50	25		DMG	No	Bronze	Yes	Yes		TRUE	120	0	20	100	
Quaals Feather Token (Fan)	250	125		DMG	No	Bronze	Yes	Yes		TRUE	75	0	20	55	
Quaals Feather Token (Whip)	250	125		DMG	No	Bronze	Yes	Yes		TRUE	75	0	20	55	
Ring of Obscuring	300	150		EGW	Yes	Bronze	Yes	Yes		TRUE	64	0	20	44	
Robe Of Serpents	250	125		SKT	Yes	Bronze	Yes	Yes		TRUE	75	0	20	55	
Rod of Retribution	300	150		EGW	Yes	Bronze	Yes	Yes		TRUE	64	0	20	44	
Rope Of Mending	350	175		XGE	No	Bronze	Yes	Yes		TRUE	53	0	20	33	
Scissors of Shadow Snipping	500	250		WBW	Yes	Bronze	Yes	Yes		TRUE	20	0	20	0	
Scribe's Pen	15	7.5		EBR	Yes	Bronze	Yes	Yes		TRUE	120	0	20	100	
Scroll Of Protection	180	90		DMG	No	Bronze	Yes	Yes		TRUE	91	0	20	71	
